,level_0,subject_id,block_id,file_position,trial_id,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,start,stop,duration,type_count,index,phase
166,166,1020,1,854038,5.0,EFIX,L,1058343,1058710.0,368.0,561.9,452.5,3536,None,None,None,1057180,1163,1530.0,367.0,59,166,nan
167,167,1020,1,854092,5.0,SSACC,L,1058711,nan,nan,None,None,None,None,None,None,1057180,1531,nan,nan,55,167,nan
168,168,1020,1,855220,5.0,ESACC,L,1058711,1058740.0,30.0,561.4,450.4,409.4,415.0,4.28,237,1057180,1531,1560.0,29.0,55,168,nan
169,169,1020,1,869634,5.0,EFIX,L,1058741,1059127.0,387.0,398.5,421.1,3386,None,None,None,1057180,1561,1947.0,386.0,60,169,nan
170,170,1020,1,869688,5.0,SSACC,L,1059128,nan,nan,None,None,None,None,None,None,1057180,1948,nan,nan,56,170,nan
171,171,1020,1,871186,5.0,ESACC,L,1059128,1059167.0,40.0,401.2,429.5,580.5,528.2,5.54,277,1057180,1948,1987.0,39.0,56,171,nan
172,172,1020,1,882233,5.0,EFIX,L,1059168,1059463.0,296.0,580.0,523.0,3051,None,None,None,1057180,1988,2283.0,295.0,61,172,nan
173,173,1020,1,882287,5.0,SSACC,L,1059464,nan,nan,None,None,None,None,None,None,1057180,2284,nan,nan,57,173,nan
174,174,1020,1,883045,5.0,ESACC,L,1059464,1059483.0,20.0,579.5,517.7,629.2,548.4,1.58,121,1057180,2284,2303.0,19.0,57,174,nan
175,175,1020,1,889874,5.0,EFIX,L,1059484,1059665.0,182.0,634.1,544.2,3366,None,None,None,1057180,2304,2485.0,181.0,62,175,nan
176,176,1020,1,889928,5.0,SSACC,L,1059666,nan,nan,None,None,None,None,None,None,1057180,2486,nan,nan,58,176,nan
177,177,1020,1,891944,5.0,ESACC,L,1059666,1059719.0,54.0,631.5,541.0,502.1,949.6,10.55,397,1057180,2486,2539.0,53.0,58,177,nan
178,178,1020,1,897441,5.0,EFIX,L,1059720,1059865.0,146.0,500.6,944.3,3475,None,None,None,1057180,2540,2685.0,145.0,63,178,nan
179,179,1020,1,897495,5.0,SSACC,L,1059866,nan,nan,None,None,None,None,None,None,1057180,2686,nan,nan,59,179,nan
180,180,1020,1,899807,5.0,ESACC,L,1059866,1059927.0,62.0,503.2,944.9,399.8,525.9,10.58,331,1057180,2686,2747.0,61.0,59,180,nan
